study_idx,cites,doi,emp_study_num,title,year
0,481,10.1186/gb-2011-12-5-r50,550,Moving pictures of the human microbiome,2011
1,14,10.4056/sigs.1974654,632,Open resource metagenomics: a model for sharing metagenomic libraries,2011
2,44,10.1038/ismej.2011.23,638,Protist diversity in a permanently ice-covered Antarctic lake during the polar night transition,2011
3,2,10.1016/j.soilbio.2013.03.014*,659,Offspring of plants exposed to elevated or ambient CO 2 differ in their impacts on soil nitrification in a common garden experiment,2013
4,8,10.7717/peerj.631,662,The role of macrobiota in structuring microbial communities along rocky shores,2014
5,53,10.1038/ismej.2010.86,678,Bioturbating shrimp alter the structure and diversity of bacterial communities in coastal marine sediments,2010
6,80,10.3389/fmicb.2011.00268,713,Metagenomic evidence for H2 oxidation and H2 production by serpentinite-hosted subsurface microbial communities,2011
7,87,10.7554/eLife.01104,714,A microbial clock provides an accurate estimate of the postmortem interval in a mouse model system,2013
8,1545,10.1073/pnas.1000080107,722,Global patterns of 16S rRNA diversity at a depth of millions of sequences per sample,2011
9,9,10.3389/fmicb.2014.00490,723,Late winter under ice pelagic microbial communities in the high Arctic Ocean and the impact of short-term exposure to elevated CO2 levels,2014
10,9,10.1016/j.watres.2014.05.008,755,Replicating the microbial community and water quality performance of full-scale slow sand filters in laboratory-scale filters,2014
12,122,10.1073/pnas.0905369107,804,"Archaea and bacteria with surprising microdiversity show shifts in dominance over 1,000-year time scales in hydrothermal chimneys",2010
13,35,10.1111/1574-6941.12231,805,Exploring links between pH and bacterial community composition in soils from the Craibstone Experimental Farm,2014
14,34,10.1371/journal.pone.0097435,807,Human and environmental impacts on river sediment microbial communities,2014
15,27,10.1890/ES12-00196.1,808,"NEON terrestrial field observations: designing continental‐scale, standardized sampling",2012
16,12,10.1111/gbi.12082,809,"Prokaryote populations of extant microbialites along a depth gradient in Pavilion Lake, British Columbia, Canada",2014
17,498,10.1073/pnas.0511033103*,810,Biogeographical distribution and diversity of microbes in methane hydrate-bearing deep marine sediments on the Pacific Ocean Margin,2006
18,3,10.1007/s12088-015-0549-1*,829,"Microbial Diversity in Soil, Sand Dune and Rock Substrates of the Thar Monsoon Desert, India",2016
22,4,10.1098/rsbl.2016.0352,865,"Stress response, gut microbial diversity and sexual signals correlate with social interactions",2016
24,35,10.1016/j.watres.2012.12.027,894,Molecular-based investigation of Cryptosporidium and Giardia from animals in water catchments in southeastern Australia,2013
24,2,10.1186/s13071-016-1607-1,894,Cryptosporidium and Giardia taxa in faecal samples from animals in catchments supplying the city of Melbourne with drinking water (2011 to 2015),2016
26,276,10.1111/j.1462-2920.2007.01266.x*,905,Anaerobic ammonium‐oxidizing bacteria in marine environments: widespread occurrence but low diversity,2007
27,22,10.7717/peerj.107,910,Biological oxygen demand optode analysis of coral reef-associated microbial communities exposed to algal exudates,2013
29,12,10.1111/1462-2920.12972,933,"Continental‐scale variation in seaweed host‐associated bacterial communities is a function of host condition, not geography",2015
32,37,10.1371/journal.pone.0085611,958,Saliva from obese individuals suppresses the release of aroma compounds from wine,2014
34,9,10.1111/1462-2920.13231,990,Spatial scale drives patterns in soil bacterial diversity,2016
35,17,10.1371/journal.pone.0099641,1001,Understanding cultivar-specificity and soil determinants of the cannabis microbiome,2014
36,73,10.1128/mBio.02527-14,1024,The soil microbiome influences grapevine-associated microbiota,2015
37,50,10.1038/ismej.2014.36,1030,Impact of fire on active layer and permafrost microbial communities and metagenomes in an upland Alaskan boreal forest,2014
38,39,10.1007/s00248-010-9675-9*,1031,"Soil microbial communities associated with Douglas-fir and red alder stands at high-and low-productivity forest sites in Oregon, USA",2010
40,40,10.1038/ismej.2013.219,1034,Distinct microbial communities associated with buried soils in the Siberian tundra,2014
